World Port Index Number,Region Name,Main Port Name,Alternate Port Name,Tidal Range (m),Channel Depth (m),Anchorage Depth (m),Cargo Pier Depth (m),Maximum Vessel Length (m),Maximum Vessel Beam (m),Maximum Vessel Draft (m),Harbor Size,Harbor Type,Harbor Use,Shelter Afforded,Entrance Restriction - Tide,Entrance Restriction - Heavy Swell,Port Security,Vessel Traffic Service,Communications - Telephone,Communications - Radio,Communications - Airport,Communications - Rail,Facilities - Wharves,Facilities - Anchorage,Facilities - Dangerous Cargo Anchorage,Facilities - Ro-Ro,Facilities - Solid Bulk,Facilities - Liquid Bulk,Facilities - Container,Facilities - Breakbulk,Facilities - Oil Terminal,Facilities - LNG Terminal,Medical Facilities,Garbage Disposal,Cranes - Fixed,Cranes - Mobile,Cranes - Floating,Cranes - Container,Services - Longshoremen,Services - Electricity,Services - Navigation Equipment,Supplies - Provisions,Supplies - Potable Water,Supplies - Fuel Oil,Supplies - Diesel Oil,Repairs,Dry Dock,Railway,Latitude,Longitude
7950,United States E Coast -- 6585,Maurer, ,1.5,11,11,11,0,0,0,Very Small,River (Natural),Unknown,Good,No,No,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Yes,Yes,Moderate,Unknown,Unknown,40.533333,-74.25
52235,Sulawesi -- 51970,Mangkasa Oil Terminal, ,2,9.4,20.1,0,0,0,0,Small,Open Roadstead,Unknown,Poor,No,No,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,No,No,No,No,None,Unknown,Unknown,-2.733333,121.066667
47620,Madagascar -- 47350,Iharana, ,8,14,14,4.9,0,0,0,Very Small,Coastal (Natural),Unknown,Good,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Yes,No,No,Emergency Only,Unknown,Unknown,-13.35,50
47360,Madagascar -- 47350,Andoany, ,4,20.1,15.5,7.9,0,0,0,Very Small,Open Roadstead,Unknown,Fair,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,No,No,Emergency Only,Unknown,Unknown,-13.4,48.3
47020,Tanzania -- 46965,Chake Chake, ,0,14,12.5,0,0,0,0,Small,Coastal (Natural),Unknown,Fair,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,No,Unknown,Unknown,Unknown,-5.25,39.766667
47005,Tanzania -- 46965,Mjimwema Terminal, ,3,23.2,17.1,0,0,0,0,Very Small,Open Roadstead,Unknown,Poor,No,Yes,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Yes,No,None,Unknown,Unknown,-6.816667,39.366667
57245,Vanuatu -- 57160,Forari Bay, ,0,0,20.1,7.9,0,0,0,Very Small,Open Roadstead,Unknown,Fair,Unknown,Yes,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,No,No,Unknown,Unknown,Unknown,-17.683333,168.55
56820,Bismarck Archipelago -- 56700,Kokopo, ,2,23.2,17.1,1.8,0,0,0,Very Small,Open Roadstead,Unknown,Fair,No,No,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,No,Unknown,Unknown,Unknown,Unknown,No,Yes,No,Yes,Yes,No,No,Limited,Unknown,Unknown,-4.333333,152.266667
56710,Bismarck Archipelago -- 56700,Longan Island, ,2,11,7.9,1.8,0,0,0,Very Small,Coastal (Natural),Unknown,Poor,No,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Yes,No,No,No,Yes,No,No,Unknown,Unknown,Unknown,-1.216667,144.3
56660, ,Malakal Harbor, ,4,12.5,17.1,6.4,0,0,0,Very Small,Open Roadstead,Unknown,Good,No,Yes,Unknown,Unknown,Unknown,Unknown,Yes,Unknown,Yes,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,Unknown,Yes,Yes,Unknown,Yes,Yes,No,Yes,Yes,Yes,Yes,Limited,Unknown,Unknown,7.333333,134.45
