UserID,ImoNumber,Dimension,Eta,Destination,UTCTime
,,,,,
305268000,9404091,"{'A': 134, 'B': 7, 'C': 11, 'D': 11}","{'Day': 1, 'Hour': 18, 'Minute': 30, 'Month': 10}",CORK                ,2023-10-02 00:58:20.763968+00:00
,,,,,
250098000,9112741,"{'A': 11, 'B': 19, 'C': 3, 'D': 9}","{'Day': 31, 'Hour': 23, 'Minute': 59, 'Month': 12}",CORK                ,2023-10-02 00:58:23.326149+00:00
,,,,,
250196000,0,"{'A': 16, 'B': 8, 'C': 3, 'D': 4}","{'Day': 17, 'Hour': 23, 'Minute': 24, 'Month': 7}",SCHULL              ,2023-10-02 00:58:24.209935+00:00
,,,,,
250487000,9244439,"{'A': 30, 'B': 35, 'C': 10, 'D': 5}","{'Day': 8, 'Hour': 9, 'Minute': 0, 'Month': 9}",RESEARCH            ,2023-10-02 00:58:29.620259+00:00
,,,,,
235066353,9440904,"{'A': 17, 'B': 22, 'C': 8, 'D': 6}","{'Day': 5, 'Hour': 0, 'Minute': 0, 'Month': 8}",MILFORD HAVEN       ,2023-10-02 00:58:43.865181+00:00
,,,,,
219195000,9214666,"{'A': 30, 'B': 165, 'C': 13, 'D': 13}","{'Day': 30, 'Hour': 12, 'Minute': 15, 'Month': 9}",GBBRK-GBBEL,2023-10-02 00:59:08.053688+00:00
,,,,,
259170000,9921726,"{'A': 25, 'B': 62, 'C': 10, 'D': 8}","{'Day': 21, 'Hour': 12, 'Minute': 34, 'Month': 3}",FISHFARMS           ,2023-10-02 00:59:13.662274+00:00
,,,,,
232023027,0,"{'A': 7, 'B': 8, 'C': 3, 'D': 3}","{'Day': 18, 'Hour': 9, 'Minute': 0, 'Month': 9}",NEWLYN ,2023-10-02 00:59:15.142348+00:00
,,,,,
236669000,9020417,"{'A': 77, 'B': 13, 'C': 9, 'D': 6}","{'Day': 1, 'Hour': 22, 'Minute': 30, 'Month': 10}",GB KYL,2023-10-02 00:59:15.990037+00:00
,,,,,
257715000,9364100,"{'A': 24, 'B': 33, 'C': 5, 'D': 7}","{'Day': 1, 'Hour': 22, 'Minute': 0, 'Month': 10}",MALLAIG             ,2023-10-02 00:59:21.178793+00:00
,,,,,
235095311,9126948,"{'A': 16, 'B': 9, 'C': 9, 'D': 2}","{'Day': 2, 'Hour': 8, 'Minute': 0, 'Month': 10}",FRES WATER WEST     ,2023-10-02 00:59:24.563907+00:00
,,,,,
636019586,9389849,"{'A': 190, 'B': 38, 'C': 11, 'D': 21}","{'Day': 28, 'Hour': 8, 'Minute': 0, 'Month': 9}",GBFAL               ,2023-10-02 00:59:27.120710+00:00
,,,,,
314455000,9229130,"{'A': 75, 'B': 14, 'C': 10, 'D': 4}","{'Day': 3, 'Hour': 20, 'Minute': 0, 'Month': 8}",GBBEL               ,2023-10-02 00:59:39.048074+00:00
,,,,,
232002927,8807947,"{'A': 21, 'B': 10, 'C': 3, 'D': 8}","{'Day': 10, 'Hour': 9, 'Minute': 0, 'Month': 8}",KYLE OF LOCHALSH    ,2023-10-02 00:59:42.660102+00:00
,,,,,
356182000,9228150,"{'A': 170, 'B': 19, 'C': 16, 'D': 16}","{'Day': 26, 'Hour': 20, 'Minute': 0, 'Month': 9}",CORK,2023-10-02 00:59:47.765921+00:00
,,,,,
235089447,700203,"{'A': 9, 'B': 6, 'C': 1, 'D': 4}","{'Day': 4, 'Hour': 8, 'Minute': 0, 'Month': 9}",OLD.COURT       ,2023-10-02 00:59:48.119412+00:00
,,,,,
308919000,8912302,"{'A': 206, 'B': 44, 'C': 27, 'D': 11}","{'Day': 30, 'Hour': 23, 'Minute': 0, 'Month': 9}",GBGSA,2023-10-02 00:59:49.691382+00:00
,,,,,
636009548,7422881,"{'A': 166, 'B': 39, 'C': 8, 'D': 19}","{'Day': 3, 'Hour': 9, 'Minute': 30, 'Month': 10}",LIVERPOOL UK        ,2023-10-02 00:59:50.511730+00:00
,,,,,
235108458,9714824,"{'A': 15, 'B': 12, 'C': 5, 'D': 5}","{'Day': 15, 'Hour': 7, 'Minute': 0, 'Month': 9}",CROSSHAVEN          ,2023-10-02 01:00:00.077553+00:00
,,,,,
232020455,0,"{'A': 13, 'B': 0, 'C': 0, 'D': 4}","{'Day': 24, 'Hour': 15, 'Minute': 30, 'Month': 6}",FRESHWATER WEST     ,2023-10-02 01:00:01.064909+00:00
,,,,,
205133000,9913315,"{'A': 28, 'B': 10, 'C': 6, 'D': 2}","{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}",FISHINGGROUNDS,2023-10-02 01:00:06.250655+00:00
,,,,,
212637000,9803675,"{'A': 135, 'B': 18, 'C': 12, 'D': 12}","{'Day': 2, 'Hour': 1, 'Minute': 15, 'Month': 10}",IEDUB               ,2023-10-02 01:00:22.928725+00:00
,,,,,
244820165,9638783,"{'A': 104, 'B': 15, 'C': 7, 'D': 8}","{'Day': 1, 'Hour': 23, 'Minute': 0, 'Month': 10}",DUBLIN,2023-10-02 01:00:25.589864+00:00
,,,,,
235000032,9206944,"{'A': 13, 'B': 20, 'C': 5, 'D': 6}","{'Day': 21, 'Hour': 9, 'Minute': 30, 'Month': 9}",MILFORD  HAVEN,2023-10-02 01:00:30.340320+00:00
,,,,,
235063854,9412397,"{'A': 12, 'B': 22, 'C': 11, 'D': 7}","{'Day': 28, 'Hour': 9, 'Minute': 0, 'Month': 9}",GBMLF               ,2023-10-02 01:00:33.906216+00:00
,,,,,
235021774,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}","{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}",,2023-10-02 01:00:34.739640+00:00
,,,,,
250004156,0,"{'A': 14, 'B': 9, 'C': 3, 'D': 3}","{'Day': 1, 'Hour': 10, 'Minute': 0, 'Month': 9}",FISHING             ,2023-10-02 01:00:34.855892+00:00
,,,,,
250005367,0,"{'A': 13, 'B': 10, 'C': 4, 'D': 3}","{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}",,2023-10-02 01:00:35.957940+00:00
,,,,,
319430000,9623960,"{'A': 12, 'B': 32, 'C': 7, 'D': 9}","{'Day': 13, 'Hour': 18, 'Minute': 0, 'Month': 9}",FALMOUTH,2023-10-02 01:00:36.480594+00:00
,,,,,
232033586,0,"{'A': 10, 'B': 9, 'C': 4, 'D': 4}","{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}",BE IN 4--6 AFTERNOON,2023-10-02 01:00:36.786138+00:00
,,,,,
235005270,9251107,"{'A': 30, 'B': 44, 'C': 4, 'D': 4}","{'Day': 11, 'Hour': 10, 'Minute': 0, 'Month': 10}",FALMOUTH            ,2023-10-02 01:00:43.663655+00:00
,,,,,
232004057,0,"{'A': 10, 'B': 6, 'C': 3, 'D': 2}","{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}",NEWLYN,2023-10-02 01:00:44.986057+00:00
,,,,,
538006344,9708150,"{'A': 212, 'B': 44, 'C': 16, 'D': 27}","{'Day': 30, 'Hour': 16, 'Minute': 0, 'Month': 9}",IEORK               ,2023-10-02 01:00:45.695444+00:00
,,,,,
248189000,9789245,"{'A': 20, 'B': 214, 'C': 30, 'D': 5}","{'Day': 3, 'Hour': 7, 'Minute': 0, 'Month': 10}",ZEEBRUGGE BERTH#129 ,2023-10-02 01:00:48.015158+00:00
,,,,,
210425000,9539054,"{'A': 20, 'B': 166, 'C': 25, 'D': 4}","{'Day': 11, 'Hour': 11, 'Minute': 45, 'Month': 1}",HOLYHEAD            ,2023-10-02 01:00:48.119021+00:00
,,,,,
259038000,9344514,"{'A': 75, 'B': 15, 'C': 8, 'D': 6}","{'Day': 3, 'Hour': 2, 'Minute': 0, 'Month': 10}",GBWOR               ,2023-10-02 01:00:53.602657+00:00
,,,,,
250005313,0,"{'A': 5, 'B': 35, 'C': 5, 'D': 5}","{'Day': 23, 'Hour': 18, 'Minute': 0, 'Month': 2}",GALWAY              ,2023-10-02 01:00:59.833330+00:00
,,,,,
250004253,9547855,"{'A': 15, 'B': 15, 'C': 5, 'D': 5}","{'Day': 13, 'Hour': 10, 'Minute': 30, 'Month': 12}",CORK                ,2023-10-02 01:01:01.825855+00:00
,,,,,
232007788,0,"{'A': 9, 'B': 6, 'C': 4, 'D': 3}","{'Day': 30, 'Hour': 3, 'Minute': 0, 'Month': 4}",NEWYN,2023-10-02 01:01:03.148912+00:00
,,,,,
250000054,0,"{'A': 12, 'B': 12, 'C': 3, 'D': 4}","{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}",H0WTH,2023-10-02 01:01:10.364688+00:00
,,,,,
250006183,0,"{'A': 10, 'B': 7, 'C': 1, 'D': 5}","{'Day': 21, 'Hour': 8, 'Minute': 30, 'Month': 12}",BALTIMORE           ,2023-10-02 01:01:10.615944+00:00
,,,,,
275528000,9167332,"{'A': 77, 'B': 13, 'C': 8, 'D': 6}","{'Day': 30, 'Hour': 5, 'Minute': 40, 'Month': 9}",IEGWY,2023-10-02 01:01:14.832429+00:00
,,,,,
234417000,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}","{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}","GILLNETS VHF8,16",2023-10-02 01:01:17.657690+00:00
,,,,,
372867000,8109266,"{'A': 21, 'B': 35, 'C': 1, 'D': 11}","{'Day': 29, 'Hour': 12, 'Minute': 0, 'Month': 8}",IEGWY               ,2023-10-02 01:01:21.329827+00:00
,,,,,
232005630,0,"{'A': 0, 'B': 0, 'C': 0, 'D': 0}","{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}",NEWLYN/CWLL/UK      ,2023-10-02 01:01:26.081974+00:00
,,,,,
232042090,0,"{'A': 13, 'B': 8, 'C': 2, 'D': 6}","{'Day': 0, 'Hour': 0, 'Minute': 0, 'Month': 0}",CH16 FOR INFO,2023-10-02 01:01:29.135812+00:00
,,,,,
235025112,9319741,"{'A': 11, 'B': 61, 'C': 7, 'D': 8}","{'Day': 2, 'Hour': 21, 'Minute': 0, 'Month': 10}",GBRAY GBWMB,2023-10-02 01:01:42.004555+00:00
,,,,,
209211000,9196199,"{'A': 74, 'B': 15, 'C': 6, 'D': 7}","{'Day': 2, 'Hour': 22, 'Minute': 0, 'Month': 10}",GBGLW,2023-10-02 01:01:43.043148+00:00
,,,,,
235070957,956456600,"{'A': 12, 'B': 7, 'C': 4, 'D': 3}","{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}",FISHING 8/16 VHF,2023-10-02 01:01:48.263250+00:00
,,,,,
235097013,0,"{'A': 8, 'B': 10, 'C': 3, 'D': 3}","{'Day': 25, 'Hour': 21, 'Minute': 0, 'Month': 9}",NEWLYN              ,2023-10-02 01:01:52.858406+00:00
,,,,,
232002848,8516568,"{'A': 26, 'B': 4, 'C': 6, 'D': 1}","{'Day': 1, 'Hour': 7, 'Minute': 30, 'Month': 10}",KISHORN             ,2023-10-02 01:01:55.809611+00:00
,,,,,
235105485,0,"{'A': 7, 'B': 16, 'C': 4, 'D': 4}","{'Day': 0, 'Hour': 24, 'Minute': 60, 'Month': 0}",KISHORN             ,2023-10-02 01:01:55.810846+00:00
,,,,,
224655000,8012267,"{'A': 82, 'B': 25, 'C': 9, 'D': 8}","{'Day': 30, 'Hour': 22, 'Minute': 59, 'Month': 9}",IEORK   ,2023-10-02 01:01:58.030681+00:00
,,,,,
